Model,Acc Mean %,Acc Std,Recall Mean %,Recall Std
SVM (Tuned),83.625,4.8476798574163285,94.5,4.4440972086577935
Random Forest,86.125,3.7165171868296265,86.75,3.020761493398643
Voting Ensemble,86.125,2.915475947422648,86.5,3.905124837953328
KNN (k=9),88.125,3.0872722588071175,86.49999999999999,5.500000000000001
Logistic Regression,84.87499999999999,3.097377923340966,86.0,4.138236339311714
Naive Bayes,83.25000000000001,2.284458360312134,79.75,3.9051248379533283
Decision Tree,78.0,2.8613807855649,77.75000000000001,5.667892024377316
